step,event,throughput,memory_monolithic,memory_paged,memory_paged_compressed,fragmentation_monolithic,fragmentation_paged,fragmentation_paged_compressed
109,"{'op': 'alloc', 'id': 98, 'size': 32}",32,1134,2080,2080.0,0.0,0.4921875,0.4921875
110,"{'op': 'alloc', 'id': 99, 'size': 26}",26,1160,2112,2112.0,0.0,0.484375,0.484375
111,"{'op': 'alloc', 'id': 100, 'size': 14}",14,1174,2144,2144.0,0.0,0.4765625,0.4765625
112,"{'op': 'alloc', 'id': 101, 'size': 14}",14,1188,2176,2176.0,0.0,0.46875,0.46875
113,"{'op': 'alloc', 'id': 102, 'size': 29}",29,1217,2208,2208.0,0.0,0.4609375,0.4609375
114,"{'op': 'alloc', 'id': 103, 'size': 29}",29,1246,2240,2240.0,0.0,0.453125,0.453125
115,"{'op': 'alloc', 'id': 104, 'size': 10}",10,1256,2272,2272.0,0.0,0.4453125,0.4453125
116,"{'op': 'alloc', 'id': 105, 'size': 12}",12,1268,2304,2304.0,0.0,0.4375,0.4375
117,"{'op': 'free', 'id': 67}",0,1258,2272,2272.0,0.0,0.4453125,0.4453125
118,"{'op': 'free', 'id': 89}",0,1236,2240,2240.0,0.0,0.453125,0.453125
119,"{'op': 'alloc', 'id': 107, 'size': 28}",28,1264,2272,2272.0,0.0,0.4453125,0.4453125
120,"{'op': 'alloc', 'id': 108, 'size': 6}",6,1270,2304,2304.0,0.0,0.4375,0.4375
121,"{'op': 'alloc', 'id': 109, 'size': 23}",23,1293,2336,2336.0,0.0,0.4296875,0.4296875
122,"{'op': 'free', 'id': 88}",0,1270,2304,2304.0,0.0,0.4375,0.4375
123,"{'op': 'alloc', 'id': 110, 'size': 17}",17,1287,2336,2336.0,0.0,0.4296875,0.4296875
124,"{'op': 'alloc', 'id': 111, 'size': 22}",22,1309,2368,2368.0,0.0,0.421875,0.421875
125,"{'op': 'alloc', 'id': 112, 'size': 30}",30,1339,2400,2400.0,0.0,0.4140625,0.4140625
126,"{'op': 'alloc', 'id': 113, 'size': 12}",12,1351,2432,2432.0,0.0,0.40625,0.40625
127,"{'op': 'free', 'id': 109}",0,1328,2400,2400.0,0.0,0.4140625,0.4140625
128,"{'op': 'free', 'id': 82}",0,1325,2368,2368.0,0.0,0.421875,0.421875
129,"{'op': 'alloc', 'id': 115, 'size': 18}",18,1343,2400,2400.0,0.0,0.4140625,0.4140625
130,"{'op': 'alloc', 'id': 116, 'size': 5}",5,1348,2432,2432.0,0.0,0.40625,0.40625
131,"{'op': 'alloc', 'id': 117, 'size': 7}",7,1355,2464,2464.0,0.0,0.3984375,0.3984375
132,"{'op': 'alloc', 'id': 118, 'size': 9}",9,1364,2496,2496.0,0.0,0.390625,0.390625
133,"{'op': 'alloc', 'id': 119, 'size': 28}",28,1392,2528,2528.0,0.0,0.3828125,0.3828125
134,"{'op': 'free', 'id': 108}",0,1386,2496,2496.0,0.0,0.390625,0.390625
135,"{'op': 'alloc', 'id': 121, 'size': 22}",22,1408,2528,2528.0,0.0,0.3828125,0.3828125
136,"{'op': 'free', 'id': 85}",0,1384,2496,2496.0,0.0,0.390625,0.390625
137,"{'op': 'free', 'id': 107}",0,1356,2464,2464.0,0.0,0.3984375,0.3984375
138,"{'op': 'alloc', 'id': 123, 'size': 4}",4,1360,2496,2496.0,0.0,0.390625,0.390625
139,"{'op': 'alloc', 'id': 124, 'size': 16}",16,1376,2528,2528.0,0.0,0.3828125,0.3828125
140,"{'op': 'alloc', 'id': 125, 'size': 27}",27,1403,2560,2560.0,0.0,0.375,0.375
141,"{'op': 'alloc', 'id': 126, 'size': 11}",11,1414,2592,2592.0,0.0,0.3671875,0.3671875
142,"{'op': 'alloc', 'id': 127, 'size': 19}",19,1433,2624,2624.0,0.0,0.359375,0.359375
143,"{'op': 'alloc', 'id': 128, 'size': 25}",25,1458,2656,2656.0,0.0,0.3515625,0.3515625
144,"{'op': 'free', 'id': 104}",0,1448,2624,2624.0,0.0,0.359375,0.359375
145,"{'op': 'alloc', 'id': 129, 'size': 9}",9,1457,2656,2656.0,0.0,0.3515625,0.3515625
146,"{'op': 'free', 'id': 102}",0,1428,2624,2624.0,0.0,0.359375,0.359375
147,"{'op': 'free', 'id': 116}",0,1423,2592,2592.0,0.0,0.3671875,0.3671875
148,"{'op': 'alloc', 'id': 130, 'size': 15}",15,1438,2624,2624.0,0.0,0.359375,0.359375
149,"{'op': 'alloc', 'id': 131, 'size': 32}",32,1470,2656,2656.0,0.0,0.3515625,0.3515625
150,"{'op': 'alloc', 'id': 132, 'size': 10}",10,1480,2688,2688.0,0.0,0.34375,0.34375
151,"{'op': 'alloc', 'id': 133, 'size': 14}",14,1494,2720,2720.0,0.0,0.3359375,0.3359375
152,"{'op': 'alloc', 'id': 134, 'size': 21}",21,1515,2752,2752.0,0.0,0.328125,0.328125
153,"{'op': 'alloc', 'id': 135, 'size': 24}",24,1539,2784,2784.0,0.0,0.3203125,0.3203125
154,"{'op': 'alloc', 'id': 136, 'size': 23}",23,1562,2816,2816.0,0.0,0.3125,0.3125
155,"{'op': 'alloc', 'id': 137, 'size': 11}",11,1573,2848,2848.0,0.0,0.3046875,0.3046875
156,"{'op': 'alloc', 'id': 138, 'size': 4}",4,1577,2880,2880.0,0.0,0.296875,0.296875
157,"{'op': 'free', 'id': 119}",0,1549,2848,2848.0,0.0,0.3046875,0.3046875
158,"{'op': 'free', 'id': 100}",0,1535,2816,2816.0,0.0,0.3125,0.3125
159,"{'op': 'alloc', 'id': 140, 'size': 5}",5,1540,2848,2848.0,0.0,0.3046875,0.3046875
160,"{'op': 'alloc', 'id': 141, 'size': 3}",3,1543,2880,2880.0,0.0,0.296875,0.296875
161,"{'op': 'free', 'id': 133}",0,1529,2848,2848.0,0.0,0.3046875,0.3046875
162,"{'op': 'alloc', 'id': 142, 'size': 8}",8,1537,2880,2880.0,0.0,0.296875,0.296875
163,"{'op': 'alloc', 'id': 143, 'size': 16}",16,1553,2912,2912.0,0.0,0.2890625,0.2890625
164,"{'op': 'free', 'id': 127}",0,1534,2880,2880.0,0.0,0.296875,0.296875
165,"{'op': 'free', 'id': 126}",0,1523,2848,2848.0,0.0,0.3046875,0.3046875
166,"{'op': 'alloc', 'id': 145, 'size': 11}",11,1534,2880,2880.0,0.0,0.296875,0.296875
167,"{'op': 'alloc', 'id': 146, 'size': 13}",13,1547,2912,2912.0,0.0,0.2890625,0.2890625
168,"{'op': 'alloc', 'id': 147, 'size': 31}",31,1578,2944,2944.0,0.0,0.28125,0.28125
169,"{'op': 'alloc', 'id': 148, 'size': 9}",9,1587,2976,2976.0,0.0,0.2734375,0.2734375
170,"{'op': 'alloc', 'id': 149, 'size': 15}",15,1602,3008,3008.0,0.0,0.265625,0.265625
171,"{'op': 'alloc', 'id': 150, 'size': 29}",29,1631,3040,3040.0,0.0,0.2578125,0.2578125
172,"{'op': 'alloc', 'id': 151, 'size': 19}",19,1650,3072,3072.0,0.0,0.25,0.25
173,"{'op': 'alloc', 'id': 152, 'size': 7}",7,1657,3104,3104.0,0.0,0.2421875,0.2421875
174,"{'op': 'alloc', 'id': 153, 'size': 10}",10,1667,3136,3136.0,0.0,0.234375,0.234375
175,"{'op': 'alloc', 'id': 154, 'size': 13}",13,1680,3168,3168.0,0.0,0.2265625,0.2265625
176,"{'op': 'free', 'id': 128}",0,1655,3136,3136.0,0.0,0.234375,0.234375
177,"{'op': 'alloc', 'id': 156, 'size': 9}",9,1664,3168,3168.0,0.0,0.2265625,0.2265625
178,"{'op': 'alloc', 'id': 157, 'size': 31}",31,1695,3200,3200.0,0.0,0.21875,0.21875
179,"{'op': 'alloc', 'id': 158, 'size': 11}",11,1706,3232,3232.0,0.0,0.2109375,0.2109375
180,"{'op': 'alloc', 'id': 159, 'size': 23}",23,1729,3264,3264.0,0.0,0.203125,0.203125
181,"{'op': 'free', 'id': 138}",0,1725,3232,3232.0,0.0,0.2109375,0.2109375
182,"{'op': 'alloc', 'id': 161, 'size': 13}",13,1738,3264,3264.0,0.0,0.203125,0.203125
183,"{'op': 'alloc', 'id': 162, 'size': 20}",20,1758,3296,848.0,0.0,0.1953125,0.59375
184,"{'op': 'alloc', 'id': 163, 'size': 21}",21,1779,3328,880.0,0.0,0.1875,0.5859375
185,"{'op': 'alloc', 'id': 164, 'size': 7}",7,1786,3360,912.0,0.0,0.1796875,0.578125
186,"{'op': 'alloc', 'id': 165, 'size': 17}",17,1803,3392,944.0,0.0,0.171875,0.5703125
187,"{'op': 'alloc', 'id': 166, 'size': 11}",11,1814,3424,976.0,0.0,0.1640625,0.5625
188,"{'op': 'alloc', 'id': 167, 'size': 13}",13,1827,3456,1008.0,0.0,0.15625,0.5546875
189,"{'op': 'alloc', 'id': 168, 'size': 13}",13,1840,3488,1040.0,0.0,0.1484375,0.546875
190,"{'op': 'free', 'id': 160}",0,1840,3488,1040.0,0.0,0.1484375,0.546875
191,"{'op': 'alloc', 'id': 170, 'size': 11}",11,1851,3520,1072.0,0.0,0.140625,0.5390625
192,"{'op': 'free', 'id': 132}",0,1841,3488,1040.0,0.0,0.1484375,0.546875
193,"{'op': 'alloc', 'id': 172, 'size': 5}",5,1846,3520,1072.0,0.0,0.140625,0.5390625
194,"{'op': 'alloc', 'id': 173, 'size': 29}",29,1875,3552,1104.0,0.0,0.1328125,0.53125
195,"{'op': 'free', 'id': 168}",0,1862,3520,1072.0,0.0,0.140625,0.5390625
196,"{'op': 'alloc', 'id': 174, 'size': 12}",12,1874,3552,1104.0,0.0,0.1328125,0.53125
197,"{'op': 'alloc', 'id': 175, 'size': 16}",16,1890,3584,1136.0,0.0,0.125,0.5234375
198,"{'op': 'alloc', 'id': 176, 'size': 31}",31,1921,3616,1168.0,0.0,0.1171875,0.515625
199,"{'op': 'free', 'id': 166}",0,1910,3584,1136.0,0.0,0.125,0.5234375
200,"{'op': 'free', 'id': 167}",0,1897,3552,1104.0,0.0,0.1328125,0.53125
201,"{'op': 'alloc', 'id': 178, 'size': 2}",2,1899,3584,1136.0,0.0,0.125,0.5234375
202,"{'op': 'free', 'id': 137}",0,1888,3552,1104.0,0.0,0.1328125,0.53125
203,"{'op': 'alloc', 'id': 180, 'size': 32}",32,1920,3584,1136.0,0.0,0.125,0.5234375
204,"{'op': 'alloc', 'id': 181, 'size': 10}",10,1930,3616,1168.0,0.0,0.1171875,0.515625
205,"{'op': 'free', 'id': 156}",0,1921,3584,1136.0,0.0,0.125,0.5234375
206,"{'op': 'free', 'id': 162}",0,1901,3552,1104.0,0.0,0.1328125,0.53125
207,"{'op': 'free', 'id': 144}",0,1901,3552,1104.0,0.0,0.1328125,0.53125
208,"{'op': 'alloc', 'id': 183, 'size': 9}",9,1910,3584,1136.0,0.0,0.125,0.5234375
209,"{'op': 'free', 'id': 155}",0,1910,3584,1136.0,0.0,0.125,0.5234375
210,"{'op': 'alloc', 'id': 184, 'size': 5}",5,1915,3616,1168.0,0.0,0.1171875,0.515625
211,"{'op': 'alloc', 'id': 185, 'size': 32}",32,1947,3648,1200.0,0.0,0.109375,0.5078125
212,"{'op': 'alloc', 'id': 186, 'size': 26}",26,1973,3680,1232.0,0.0,0.1015625,0.5
213,"{'op': 'alloc', 'id': 187, 'size': 5}",5,1978,3712,1264.0,0.0,0.09375,0.4921875
214,"{'op': 'alloc', 'id': 188, 'size': 30}",30,2008,3744,1296.0,0.0,0.0859375,0.484375
215,"{'op': 'alloc', 'id': 189, 'size': 25}",25,2033,3776,1328.0,0.0,0.078125,0.4765625
216,"{'op': 'alloc', 'id': 190, 'size': 4}",4,2037,3808,1360.0,0.0,0.0703125,0.46875
217,"{'op': 'free', 'id': 186}",0,2011,3776,1328.0,0.0,0.078125,0.4765625
218,"{'op': 'alloc', 'id': 191, 'size': 12}",12,2023,3808,1360.0,0.0,0.0703125,0.46875
219,"{'op': 'alloc', 'id': 192, 'size': 14}",14,2037,3840,1392.0,0.0,0.0625,0.4609375
220,"{'op': 'alloc', 'id': 193, 'size': 1}",1,2038,3872,1424.0,0.0,0.0546875,0.453125
221,"{'op': 'alloc', 'id': 194, 'size': 29}",29,2067,3904,1456.0,0.0,0.046875,0.4453125
222,"{'op': 'free', 'id': 189}",0,2042,3872,1424.0,0.0,0.0546875,0.453125
223,"{'op': 'alloc', 'id': 195, 'size': 20}",20,2062,3904,1456.0,0.0,0.046875,0.4453125
224,"{'op': 'alloc', 'id': 196, 'size': 13}",13,2075,3936,1488.0,0.0,0.0390625,0.4375
225,"{'op': 'alloc', 'id': 197, 'size': 20}",20,2095,3968,1520.0,0.0,0.03125,0.4296875
226,"{'op': 'alloc', 'id': 198, 'size': 8}",8,2103,4000,1552.0,0.0,0.0234375,0.421875
227,"{'op': 'alloc', 'id': 199, 'size': 13}",13,2116,4032,1584.0,0.0,0.015625,0.4140625
228,"{'op': 'alloc', 'id': 200, 'size': 24}",24,2140,4064,1616.0,0.0,0.0078125,0.40625
229,"{'op': 'free', 'id': 181}",0,2130,4032,1584.0,0.0,0.015625,0.4140625
230,"{'op': 'alloc', 'id': 202, 'size': 11}",11,2141,4064,1616.0,0.0,0.0078125,0.40625
231,"{'op': 'free', 'id': 176}",0,2110,4032,1584.0,0.0,0.015625,0.4140625
232,"{'op': 'alloc', 'id': 203, 'size': 3}",3,2113,4064,1616.0,0.0,0.0078125,0.40625
233,"{'op': 'alloc', 'id': 204, 'size': 10}",10,2123,4096,1648.0,0.0,0.0,0.3984375
234,"{'op': 'alloc', 'id': 205, 'size': 20}",20,2143,4096,1680.0,0.0,0.0,0.390625
235,"{'op': 'alloc', 'id': 206, 'size': 22}",22,2165,4096,1712.0,0.0,0.0,0.3828125
236,"{'op': 'alloc', 'id': 207, 'size': 2}",2,2167,4096,1744.0,0.0,0.0,0.375
237,"{'op': 'alloc', 'id': 208, 'size': 24}",24,2191,4096,1776.0,0.0,0.0,0.3671875
238,"{'op': 'free', 'id': 201}",0,2191,4096,1776.0,0.0,0.0,0.3671875
239,"{'op': 'free', 'id': 194}",0,2162,4064,1744.0,0.0,0.0078125,0.375
240,"{'op': 'alloc', 'id': 211, 'size': 26}",26,2188,4096,1776.0,0.0,0.0,0.3671875
241,"{'op': 'alloc', 'id': 212, 'size': 23}",23,2211,4096,1808.0,0.0,0.0,0.359375
242,"{'op': 'alloc', 'id': 213, 'size': 18}",18,2229,4096,1840.0,0.0,0.0,0.3515625
243,"{'op': 'free', 'id': 196}",0,2216,4064,1808.0,0.0,0.0078125,0.359375
244,"{'op': 'alloc', 'id': 214, 'size': 10}",10,2226,4096,1840.0,0.0,0.0,0.3515625
